sample_location,PH,TDS,EC,TEMP,Ca,Mg,Na,K,HCO3,SO4,Cl,NO3,CO3,Fe,Pb,Cu,Cr,Mn,Zn,Ni,Co,Cd
LP1,6.3,530,1110,34,55.18,17.73,14.66,8.14,206,20,40.47,4.09,0,0.949,0.012,0.019,0.011,0.027,0.011,0.003,0.003,0.002
LP2,7.3,240,480,30,56,20.02,12.96,10.12,200,22,53.25,5.36,0,0.91,0.012,0.016,0.012,0.03,0.013,0.003,0.003,0.002
LP3,6.4,280,550,30,56.85,18.84,11.27,8.83,202,22,47.29,3.32,0,0.839,0.014,0.018,0.012,0.031,0.011,0.003,0.003,0.002
LP4,6.6,150,300,31,64,34.32,14.08,10.11,260,40,60.7,8.32,0,1.524,0.047,0.026,0.015,0.022,0.021,0.004,0.004,0.003
LP5,7.2,60,130,32,58.01,21.45,18.16,9.36,222,26,49.69,4.12,0,0.815,0.016,0.021,0.012,0.029,0.015,0.003,0.004,0.002
LP6,6.2,230,470,29,63.2,18.31,17.93,10.48,218,26,53.96,3.84,0,1.703,0.029,0.021,0.015,0.031,0.019,0.004,0.004,0.003
LP7,6.1,110,220,31,55.6,26.03,15.11,9.92,230,30,50.06,6.41,0,0.785,0.015,0.022,0.01,0.032,0.012,0.003,0.003,0.002
AJ1,6.2,1890,3780,27,55.18,17.73,14.66,8.14,206,20,40.47,4.09,0,0.792,0.011,0.027,0.009,0.02,0.01,0.003,0.003,0.002
AJ2,6.6,170,340,30,54.4,20.02,10.32,7.91,206,24,40.47,4.32,0,1.612,0.029,0.021,0.015,0.101,0.019,0.003,0.004,0.002
AJ3,6.8,180,370,31,74.22,33.16,17.92,15.01,292,42,53.19,11.14,4,0.819,0.015,0.026,0.012,0.024,0.013,0.004,0.003,0.002
AJ4,5.8,150,300,29,63.87,22.06,10.61,9.26,246,28,32.47,3.24,2,0.799,0.015,0.029,0.013,0.027,0.014,0.004,0.003,0.003
AJ5,5.7,110,230,30,64.75,24.02,11.64,9.04,254,32,32.79,4.45,2,0.949,0.017,0.033,0.011,0.027,0.015,0.003,0.003,0.002
AJ6,6.1,1130,2260,29,62.43,24.32,12.11,10.21,252,30,31.64,4.79,4,0.654,0.008,0.03,0.01,0.024,0.011,0.003,0.004,0.002
AJ7,6.5,240,490,30,64.17,26.35,16.18,13.24,248,36,49.23,5.26,4,0.731,0.009,0.029,0.008,0.023,0.009,0.004,0.003,0.002
AJ8,6.7,80,160,31,61.61,17.36,19.18,9.36,210,24,53.25,6.36,0,1.727,0.092,0.049,0.037,0.139,0.042,0.004,0.003,0.002
AJ9,5.8,60,130,30,68.05,25.92,17.07,14.03,254,38,48.59,6.24,4,1.931,0.079,0.049,0.054,0.203,0.049,0.007,0.005,0.003
AJ10,5.9,180,360,29,59.2,17.16,12.3,8.96,220,26,35.5,1.36,0,1.621,0.072,0.042,0.039,0.133,0.042,0.004,0.003,0.002
Average,6.364705882,687.0588235,340.5882353,30.17647059,60.98352941,22.63529412,14.48,10.12470588,230.9411765,28.58823529,45.47176471,5.100588235,1.176470588,1.127058824,0.028941176,0.028117647,0.017352941,0.054294118,0.019176471,0.003647059,0.003411765,0.002235294
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
sample_location,Ca,Mg,Na,K,HCO3,SO4,Cl,NO3,CO3,,,,,,,,,,,,,
LP1,55.18,17.73,14.66,8.14,206,20,40.47,4.09,0,,,,,,,,,,,,,
LP2,56,20.02,12.96,10.12,200,22,53.25,5.36,0,,,,,,,,,,,,,
LP3,56.85,18.84,11.27,8.83,202,22,47.29,3.32,0,,,,,,,,,,,,,
LP4,64,34.32,14.08,10.11,260,40,60.7,8.32,0,,,,,,,,,,,,,
LP5,58.01,21.45,18.16,9.36,222,26,49.69,4.12,0,,,,,,,,,,,,,
LP6,63.2,18.31,17.93,10.48,218,26,53.96,3.84,0,,,,,,,,,,,,,
LP7,55.6,26.03,15.11,9.92,230,30,50.06,6.41,0,,,,,,,,,,,,,
AJ1,55.18,17.73,14.66,8.14,206,20,40.47,4.09,0,,,,,,,,,,,,,
AJ2,54.4,20.02,10.32,7.91,206,24,40.47,4.32,0,,,,,,,,,,,,,
AJ3,74.22,33.16,17.92,15.01,292,42,53.19,11.14,4,,,,,,,,,,,,,
AJ4,63.87,22.06,10.61,9.26,246,28,32.47,3.24,2,,,,,,,,,,,,,
AJ5,64.75,24.02,11.64,9.04,254,32,32.79,4.45,2,,,,,,,,,,,,,
AJ6,62.43,24.32,12.11,10.21,252,30,31.64,4.79,4,,,,,,,,,,,,,
AJ7,64.17,26.35,16.18,13.24,248,36,49.23,5.26,4,,,,,,,,,,,,,
AJ8,61.61,17.36,19.18,9.36,210,24,53.25,6.36,0,,,,,,,,,,,,,
AJ9,68.05,25.92,17.07,14.03,254,38,48.59,6.24,4,,,,,,,,,,,,,
AJ10,59.2,17.16,12.3,8.96,220,26,35.5,1.36,0,,,,,,,,,,,,,
Average,60.98352941,22.63529412,14.48,10.12470588,230.9411765,28.58823529,45.47176471,5.100588235,1.176470588,,,,,,,,,,,,,
